max_voltage_step,framework_formula,formula_charge,max_delta_volume,average_voltage,capacity_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,id_charge,id_discharge
0,Ti11O24,Na4Ti11O24,0.031913200836254,-0.275928920000012,75.0425773691303,0.102564102564102,0.166666666666666,0.111009761538458,0.022703029404759,mp-777965,mp-759333
0.852818796666667,MnO2,NaMn8O16,0.218335517752002,0.466893404999998,213.335925569938,0.04,0.25,0.075527942599999,0.030517345625,mp-760061,mp-759533
0,FeO2,FeO2,0.075707044666196,2.83287443999999,134.899516952995,0,0.142857142857142,0.390693967916666,0.030371274999997,mp-1047285,mp-759691
0,Mn15O32,Mn15O32,0.178007327116497,1.32146530555555,156.331612186066,0,0.160714285714285,0.13769114324468,0.04545125504464,mp-776603,mp-764537
0,CrO2,CrO2,0.00957972215132,1.35573613,74.662306700766,0,0.076923076923076,0.066267404999967,0.051100154999996,mp-1394584,mp-760012
0,V12O29,V12O29,0.02798470798817,1.52978467666666,36.2258789199251,0,0.035294117647058,0.039493907195124,0.033095507058803,mp-773019,mp-1176383
0,MnO2,NaMn2O4,0.040578650916624,0.117244170000004,121.906243182822,0.142857142857142,0.25,0.025177440357142,0.024327401249999,mp-764033,mp-1283729
0,V9O22,V9O22,0.00723066204482,1.20046172200001,39.9212950093605,0,0.03875968992248,0.039160695483872,0.044911399457332,mp-849581,mp-761084
0,Mn21O40,Mn21O40,0.138812404363838,0.797246337777779,120.571526480541,0,0.128571428571428,0.057628469911204,0.032410653089287,mp-849596,mp-761085
1.15650203,NiO2,NiO2,0.05856646381125,1.0734136,235.758417232829,0,0.25,0.152258794444445,0.012753404375,mp-1041980,mp-1274483
0,MnO2,MnO2,0.120001360961805,1.40268265,136.142488013705,0,0.142857142857142,0.223135216388889,0.089376621071426,mp-1371977,mp-774174
0,BiO2,BiO2,0.021447286076876,0.517045642499999,53.0776875249985,0,0.142857142857142,0.079097027499999,0.078011332678574,mp-1343531,mp-777268
0,NbS2,NbS2,0.160232293686225,2.11808464,148.875489769427,0,0.25,0,0,mp-10033,mp-7937
0,V3S4,V3S4,0.007139102379946,1.44467338,45.8020669814816,0,0.066666666666666,0.056969857857131,0.041318188666666,mp-799,mp-1221427
0,AgO,AgO,0.43129094472497,-0.255032359999999,182.500076616951,0,0.333333333333333,0.308693457499999,0.291835399166659,mp-8222,mp-1008866
1.99574642500001,FeO2,FeO2,0.201135020633393,1.324914025,241.817360204786,0,0.25,0.319957769166667,0.084067209999999,mp-1384466,mp-971633
0,Ti3Se4,Ti3Se4,0.003684683440503,1.12465662999999,28.4555520395859,0,0.066666666666666,0,0,mp-9227,mp-1221415
0,RbSb,RbSb,0.11063478076216,18.58024374,211.695927122689,0,0.5,0.741350928124998,0.000367895416667,mp-1002227,mp-975275
0,CeSe2,CeSe2,0.101617942806349,48.59103723,83.4870085522248,0,0.25,0.080798254583333,0,mp-1080337,mp-999491
0,InBi,InBi,13.173043114061,-1.79812724633333,158.738743174694,0,0.5,0,1.2965093675,mp-1001833,mp-1096733
0,TlSb,TlSb,13.1652269303954,-1.50701000964287,157.64404087204,0,0.5,0.071025235,1.29135415958334,mp-1002219,mp-1097580
0,MnO2,LiMn3O6,0.019965361493282,2.34161288666665,49.4087457631602,0.1,0.142857142857142,0.029378997508326,0.059105272857143,mp-1003637,mp-1016095
0,MnAs,MnAs,0.182656531783761,0.743360836666666,195.916336106192,0,0.333333333333333,0.44509168,0.145942876340997,mp-1009131,mp-1008911
0,CrO2,CrO2,0.155139284348778,-0.826594743333332,294.729376905753,0,0.25,0.192758304999967,1.104617735,mp-1009555,mp-1236414
0,GaBi,GaBi,16.1402462096563,-1.87705981547619,183.204501286557,0,0.5,0,1.37106673803571,mp-1018126,mp-1093540
0,MgCd,MgCd,0.034349356006732,11.7216000566667,355.934091360627,0,0.5,0.589996970833333,0,mp-1039025,mp-1222648
0.418923725000006,FeS2,FeS2,0.141599331079254,1.36844872416667,211.174959385451,0,0.25,0.250639878333333,0.161773218125001,mp-1393120,mp-1176715
0,CrS2,CrS2,0.163825298156991,28.6797001316667,112.049511212542,0,0.142857142857142,0.029461006666667,0.054807476941961,mp-1442954,mp-1045358
0,VS2,VS2,0.14419198713998,1.38256708166667,113.046351273658,0,0.142857142857142,0.0881858975,0.094082034285713,mp-1405126,mp-1045443
0,MnS2,MnS2,0.126670856104037,2.25457915166666,109.359390326382,0,0.142857142857142,0.001569699166665,0,mp-1386044,mp-1045401
0,CrO2,CrO2,0.025467479299231,3.40301891166667,153.211905195448,0,0.142857142857142,0.165569816666634,0.114167529603173,mp-1389152,mp-1045514
0,Ni9O13,Ni9O13,0.004479075718492,4.24018176666668,36.0635441472289,0,0.043478260869565,0.199607824090908,0.144637906123177,mp-1045896,mp-1235587
0,Mg2Ni,Mg2Ni,0.076675937106159,11.7124102166667,234.597767114746,0,0.25,0.21769566111111,0.035506949374999,mp-1077177,mp-1185377
