compoundID,formula_charge,capacity_grav,LCD,PLD,LCD_along_PLD,max_delta_volume,average_voltage,fracA_charge,fracA_discharge,stability_charge,stability_discharge
mp-759143,Li2V(FeO3)2,95.9076572856408,1.32524,0,1.32524,0.068046948336972,2.25361131666667,0.181818181818181,0.25,0.14073408153409,0.100338466666669
mp-771391,Mn5Sb3O16,116.058316169124,1.16661,0.5384,1.13967,0.115463451029063,3.16957340666667,0,0.142857142857142,0.106008692170139,0.038143940178557
mp-756965,Mn5Co3O16,145.809954193935,0.89183,0.33994,0.88599,0.091690597450068,3.49075367916667,0,0.142857142857142,0.052623588368057,0.040241357837309
mp-1176543,LiVFeO4,145.134819792934,1.49413,0.51253,1.49264,0.004434126589106,2.3003203,0.142857142857142,0.25,0.106112907172621,0.0437451734375
mp-768708,LiCrNiO4,142.130821780259,0.36395,0.14295,0.30665,0.000977012060943,3.05616640166667,0.142857142857142,0.25,0.102955278690481,0.038422969687499
mp-757008,Mg(Fe5O8)2,31.6919855224867,1.35063,0.08746,1.35063,7.96267126925709E-05,2.24096130666664,0,0.035714285714285,0.142256910740739,0.118911454910714
mp-778325,Li2TiV3O8,76.6830824591246,0.41022,0.00274,0.41022,0.005050550340014,1.40826268166667,0.142857142857142,0.2,0.023096407857158,0.0498816327499999
mp-757029,MnCo3O8,143.47118472446,0.81933,0.26298,0.79985,0.069992050156534,3.55422307416667,0,0.142857142857142,0.045385805347224,0.056483485892857
mp-766419,LiCr2(PO4)2,87.0695502933552,1.77966,0.34807,1.77966,0.013019198991609,2.47252904166667,0.076923076923076,0.142857142857142,0.100350762115376,0.050733208839274
mp-757044,Mn3NiO8,146.702796138234,1.317,0.64248,1.317,0.061286354189055,4.12700833666666,0,0.142857142857142,0.098048654444445,0.017472685357143
mp-761245,K2Li2CoO4,120.754374622149,0.48216,0,0.45193,0.029163260974814,2.08137929416667,0.222222222222222,0.3,0.019667674537036,0
mp-757059,MnP2O7,220.803338294122,1.69766,1.03732,1.5858,0.060260305226491,4.58153468666667,0,0.166666666666666,0.229710929249999,0.033172228749998
mp-757065,Mn(SbO3)4,106.525038550217,1.19628,0.27254,1.12837,0.084348586790213,3.13945930000001,0,0.15,0.038389943235295,0.063689552281246
mp-757069,Li3VFe3O8,71.6165805276298,1.51408,0,1.51408,0.005089529462997,2.25450875666668,0.2,0.25,0.075493951333328,0.037965372968749
mp-759297,Li2Mn(FeO3)2,352.33762050552,1.47804,0,1.47804,0.245824718521845,1.42179593958334,0.181818181818181,0.4,0.070600651515137,0.049836919749998
mp-769573,LiTiVO4,151.688094135168,1.47806,0.55005,1.47805,0.012119051892872,1.35964566666667,0.142857142857142,0.25,0.055479235952375,0.022321525364585
mp-762011,LiCrCoO4,141.950309837701,0.31189,0.00828,0.31189,0.051883929178187,2.57354609166666,0.142857142857142,0.25,0.026803994543652,0.0487554687499999
mp-777455,Fe7(OF7)2,149.59200458091,1.41104,0.90819,1.41104,0.11009644842452,2.98967727416666,0,0.148148148148148,0.085534605193232,0.034858101296295
mp-766456,LiFe2(PO4)2,84.9452627933899,1.86063,1.00937,1.86063,0.026950143208135,3.11962163416667,0.076923076923076,0.142857142857142,0.041736619999993,0.013923372857142
mp-758699,Li2V2FeO6,97.6205971914645,1.36275,0,1.36275,0.037472522803892,2.93961402,0.181818181818181,0.25,0.116372452803023,0.014175551874998
mp-757131,Sn(PO3)4,60.7001654933971,1.64021,0.92919,1.64021,0.064759379226054,2.47727476666665,0,0.055555555555555,0.029524328823568,0.051612313495365
mp-772173,CrPO5,303.100408362977,1.64157,0.79329,1.64157,0.049416759693519,3.59094857229167,0,0.222222222222222,0.100440003392856,0.093071239444436
mp-758197,Li2Fe2NiO6,93.319010627208,1.37251,0,1.37251,0.04704898974727,4.16885297,0.181818181818181,0.25,0.121982304205848,0.00985357402778
mp-757155,Nb(PO3)4,64.4676691804523,1.65805,0.94013,1.65805,0.005055731443982,2.25969910166666,0,0.055555555555555,0.048731202943275,0.073255127737432
mp-757156,Sn(PO3)4,60.7001654933971,1.85183,0.9529,1.85182,0.060658077520795,2.62196923166666,0,0.055555555555555,0.035828402941215,0.049527579884253
mp-757175,Li3MnV3O8,73.7273120906808,1.52425,0,1.52425,0.008082336633948,2.06943417666667,0.2,0.25,0.06774116208333,0.04518691734375
mp-780611,LiV2CrO6,198.017212103975,1.51491,0.55497,1.51489,0.014928927860048,2.50815263666667,0.1,0.25,0.119495012687512,0.001280081666675
mp-757245,Cr5(Si2O7)2,87.845468515331,1.71066,0.54057,1.70106,0.009612343901525,2.49900281916667,0,0.08,0.103904475942028,0
mp-764478,LiFe8(BO3)8,166.499748371678,1.54638,0.78759,1.48621,0.009691196834032,2.54528915166667,0.024390243902439,0.148936170212765,0.083623366707302,0.023919885797879
mp-787252,LiTi2(PO4)3,133.516370568036,1.91418,0.62077,1.79067,0.086320873258488,32.5879876116667,0.055555555555555,0.15,3.51617159888888,0.074958448107137
mp-861494,V3CoO8,151.577129544096,1.31673,0.41948,1.31673,0.024854804967626,3.03453421916667,0,0.142857142857142,0.115560946874955,0.096403406607143
mp-757306,LiCu(PO3)4,68.1423880620338,2.28352,1.69799,2.15344,0.011638199848672,3.92996412166665,0.055555555555555,0.105263157894736,0.015997679074071,0.043051901798246
mp-766439,LiMn2(PO5)2,77.5282356704161,1.58033,0.58775,1.57666,0.001173806079038,4.60086859166668,0.066666666666666,0.125,0.079207272111119,0.025899476597225
mp-758769,LiNi(CO3)2,139.161097823619,2.76604,0.83772,2.76197,0.068057442396159,4.34744771916666,0.1,0.181818181818181,0.14416183925,0.064232436136364
mp-758958,V4OF12,116.117164921529,2.39595,1.091,2.39595,0.058150576796435,2.75661542666667,0,0.105263157894736,0.10086779107843,0.17201252605263
mp-766596,Ti(SiO3)2,129.491143127946,1.68986,0.11868,1.68585,0.014261915388505,1.13168928916667,0,0.1,0.052565768287038,0.038861226991661
mp-766877,Si6Bi9O26,10.8408741247343,2.18846,0.25545,1.98546,0.007712425794556,3.94558578666671,0,0.023809523809523,0.066755196829215,0.038561432579364
mp-779820,Li3Fe4(Si3O10)2,174.623187539916,1.81923,1.51077,1.78578,0.026695272638349,2.80745650866666,0.09090909090909,0.210526315789473,0.08505919419529,0.020921605350876
mp-757440,Cr(SO4)2,106.752312654524,2.46559,1.00779,2.46559,0.000721861165427,4.84622335333335,0,0.083333333333333,0.059808676818174,0.021807854409728
mp-770892,VPO5,158.726463604617,2.54569,1.95617,2.54569,0.027278108704285,3.17120723166667,0,0.125,0.03083410785714,0.048097802812499
mp-766012,FeP2O7,219.981495533809,2.01607,1.01877,2.01607,0.045074100929097,3.45462541666666,0,0.166666666666666,0.054712241291674,0.03446255118055
mp-757495,Sn(PO3)4,60.7001654933971,1.48015,0.85416,1.48015,0.090971873350601,2.77897481166665,0,0.055555555555555,0.047908807058862,0.052214318217586
mp-757530,Co3SbO8,121.704099467368,1.00163,0.42587,1.00163,0.049824848412316,3.96752817416666,0,0.142857142857142,0.083053358125,0.028098295357118
mp-850962,LiFe2(SiO4)2,86.5294663214414,1.65498,1.07912,1.62504,0.002257754288093,4.23291580166666,0.076923076923076,0.142857142857142,0.11874670167522,0.041434656547623
mp-761589,NbCo3O8,130.236041823352,1.05679,0.453,1.05679,0.04702008645724,3.61028193416667,0,0.142857142857142,0.069541527916658,0.021924155491074
mp-850025,CoPO4,166.628669422084,2.59522,1.43162,2.14037,0.174896563947163,3.03717784416666,0,0.142857142857142,0.054923138194446,0.131293457380939
mp-1253019,Fe(SiO3)2,124.685076604343,1.35063,0.64449,1.34609,0.010471641787058,4.62152333041666,0,0.1,0.180824570231479,0.02812256966667
mp-867992,MnCo3O8,143.47118472446,1.26724,0.6096,1.26724,0.028279096102732,4.04083349041667,0,0.142857142857142,0.060590141180557,0
mp-766081,P4WO12,52.8974324179565,1.92729,1.3713,1.92729,0.027869773868427,2.90893208666666,0,0.055555555555555,0.029084685588236,0.024236221249998
mp-757617,Li3Mn2V5O12,90.6555883497835,1.48572,0,1.47841,0.010696874182452,1.98797905166667,0.136363636363636,0.208333333333333,0.096054069204541,0.070410261041669
mp-760178,VOF3,204.783565493441,1.34759,0.7352,1.34759,0.045034731794075,4.00483711666667,0,0.166666666666666,0.051060099499999,0.027658053333343
mp-775826,Fe3Co7O20,276.456303783105,1.37651,0.42593,1.26719,0.021699592618677,3.45987782566667,0,0.25,0.100773623916667,0.0135009635625
